plate_map_name	well_position	broad_sample	solvent
JUMP-Target-2_compound_platemap	G11	BRD-K94863486-001-02-2	DMSO
JUMP-Target-2_compound_platemap	G12	BRD-K45293975-001-01-2	DMSO
JUMP-Target-2_compound_platemap	G13	BRD-K01826724-003-07-9	DMSO
JUMP-Target-2_compound_platemap	G14	BRD-K42191735-001-08-7	DMSO
JUMP-Target-2_compound_platemap	G15	BRD-K10843433-001-23-5	DMSO
JUMP-Target-2_compound_platemap	G16		DMSO
JUMP-Target-2_compound_platemap	G17	BRD-K84266862-001-03-2	DMSO
JUMP-Target-2_compound_platemap	G18	BRD-K81197548-003-03-9	DMSO
JUMP-Target-2_compound_platemap	G19		DMSO
JUMP-Target-2_compound_platemap	G20	BRD-K82818427-001-05-9	DMSO
JUMP-Target-2_compound_platemap	G21	BRD-K24696047-001-02-3	DMSO
JUMP-Target-2_compound_platemap	G22	BRD-K83896451-001-07-5	DMSO
JUMP-Target-2_compound_platemap	G23	BRD-K24616672-003-19-3	DMSO
JUMP-Target-2_compound_platemap	G24	BRD-K78122587-300-04-3	DMSO
JUMP-Target-2_compound_platemap	H01	BRD-K72815923-034-01-2	DMSO
JUMP-Target-2_compound_platemap	H02		DMSO
JUMP-Target-2_compound_platemap	H03	BRD-K29791386-001-01-8	DMSO
JUMP-Target-2_compound_platemap	H04	BRD-K58550667-001-12-9	DMSO
JUMP-Target-2_compound_platemap	H05	BRD-K78126613-001-27-7	DMSO
JUMP-Target-2_compound_platemap	H06		DMSO
JUMP-Target-2_compound_platemap	H07	BRD-K63430059-001-16-4	DMSO
JUMP-Target-2_compound_platemap	H08	BRD-K37764012-001-06-9	DMSO
JUMP-Target-2_compound_platemap	H09		DMSO
JUMP-Target-2_compound_platemap	H10	BRD-K11558771-001-16-9	DMSO
JUMP-Target-2_compound_platemap	H11	BRD-K20986415-001-02-6	DMSO
JUMP-Target-2_compound_platemap	H12	BRD-K59632282-052-03-1	DMSO
JUMP-Target-2_compound_platemap	H13	BRD-K45746021-003-01-9	DMSO
JUMP-Target-2_compound_platemap	H14	BRD-K15179513-001-04-2	DMSO
JUMP-Target-2_compound_platemap	H15	BRD-K49350383-001-15-2	DMSO
JUMP-Target-2_compound_platemap	H16	BRD-A63444178-001-01-5	DMSO
JUMP-Target-2_compound_platemap	H17		DMSO
JUMP-Target-2_compound_platemap	H18		DMSO
JUMP-Target-2_compound_platemap	H19	BRD-K32292990-001-03-6	DMSO
JUMP-Target-2_compound_platemap	H20	BRD-K03406345-001-18-7	DMSO
JUMP-Target-2_compound_platemap	H21	BRD-K03406345-001-18-7	DMSO
JUMP-Target-2_compound_platemap	H22		DMSO
JUMP-Target-2_compound_platemap	H23	BRD-K56740996-001-01-3	DMSO
JUMP-Target-2_compound_platemap	H24	BRD-A10188456-001-04-9	DMSO
JUMP-Target-2_compound_platemap	I01	BRD-K59831625-001-03-9	DMSO
JUMP-Target-2_compound_platemap	I02		DMSO
JUMP-Target-2_compound_platemap	I03	BRD-A24122750-001-03-7	DMSO
JUMP-Target-2_compound_platemap	I04	BRD-K26514105-001-02-9	DMSO
JUMP-Target-2_compound_platemap	I05	BRD-K76037122-001-02-5	DMSO
JUMP-Target-2_compound_platemap	I06	BRD-K30177383-001-02-9	DMSO
JUMP-Target-2_compound_platemap	I07	BRD-K29530284-001-06-2	DMSO
JUMP-Target-2_compound_platemap	I08	BRD-K32821942-001-21-3	DMSO
JUMP-Target-2_compound_platemap	I09		DMSO
JUMP-Target-2_compound_platemap	I10		DMSO
JUMP-Target-2_compound_platemap	I11	BRD-K50055394-001-03-6	DMSO
JUMP-Target-2_compound_platemap	I12	BRD-K42352790-001-11-9	DMSO
JUMP-Target-2_compound_platemap	I13	BRD-K91822704-003-07-2	DMSO
JUMP-Target-2_compound_platemap	I14	BRD-K90497590-001-07-5	DMSO
JUMP-Target-2_compound_platemap	I15		DMSO
JUMP-Target-2_compound_platemap	I16	BRD-K90747162-001-02-9	DMSO
JUMP-Target-2_compound_platemap	I17	BRD-K74514084-003-09-2	DMSO
JUMP-Target-2_compound_platemap	I18	BRD-K93779381-001-02-9	DMSO
JUMP-Target-2_compound_platemap	I19	BRD-K61918008-001-07-1	DMSO
JUMP-Target-2_compound_platemap	I20		DMSO
JUMP-Target-2_compound_platemap	I21	BRD-K36660044-001-24-2	DMSO
JUMP-Target-2_compound_platemap	I22	BRD-K67637637-003-12-6	DMSO
JUMP-Target-2_compound_platemap	I23	BRD-K66788707-001-17-6	DMSO
JUMP-Target-2_compound_platemap	I24	BRD-K18131774-001-18-4	DMSO
JUMP-Target-2_compound_platemap	J01	BRD-K87632963-001-05-9	DMSO
JUMP-Target-2_compound_platemap	J02	BRD-K58049875-001-03-9	DMSO
JUMP-Target-2_compound_platemap	J03	BRD-K41599323-001-03-1	DMSO
JUMP-Target-2_compound_platemap	J04		DMSO
JUMP-Target-2_compound_platemap	J05	BRD-K77627880-001-04-0	DMSO
JUMP-Target-2_compound_platemap	J06	BRD-K16810791-001-01-0	DMSO
JUMP-Target-2_compound_platemap	J07	BRD-K07881437-001-03-8	DMSO
JUMP-Target-2_compound_platemap	J08	BRD-K44227013-001-15-9	DMSO
JUMP-Target-2_compound_platemap	J09	BRD-K80935598-001-01-1	DMSO
JUMP-Target-2_compound_platemap	J10	BRD-K01825690-065-01-9	DMSO
JUMP-Target-2_compound_platemap	J11	BRD-K73789395-001-09-9	DMSO
JUMP-Target-2_compound_platemap	J12		DMSO
JUMP-Target-2_compound_platemap	J13	BRD-K28132190-001-02-0	DMSO
JUMP-Target-2_compound_platemap	J14	BRD-K07881437-001-03-8	DMSO
JUMP-Target-2_compound_platemap	J15	BRD-K43236057-001-07-1	DMSO
JUMP-Target-2_compound_platemap	J16	BRD-A93477898-001-04-2	DMSO
JUMP-Target-2_compound_platemap	J17	BRD-K36016295-001-05-2	DMSO
JUMP-Target-2_compound_platemap	J18	BRD-K23913458-001-20-7	DMSO
JUMP-Target-2_compound_platemap	J19	BRD-K22149900-001-05-4	DMSO
JUMP-Target-2_compound_platemap	J20	BRD-K64890080-001-14-9	DMSO
JUMP-Target-2_compound_platemap	J21	BRD-K24282351-001-02-9	DMSO
JUMP-Target-2_compound_platemap	J22	BRD-K53972329-001-12-9	DMSO
JUMP-Target-2_compound_platemap	J23	BRD-K09787262-001-03-9	DMSO
JUMP-Target-2_compound_platemap	J24	BRD-K80451230-051-02-6	DMSO
JUMP-Target-2_compound_platemap	K01	BRD-K50199947-001-07-9	DMSO
JUMP-Target-2_compound_platemap	K02	BRD-K38775274-001-22-1	DMSO
JUMP-Target-2_compound_platemap	K03	BRD-K09295674-001-09-8	DMSO
JUMP-Target-2_compound_platemap	K04	BRD-A18763547-300-05-5	DMSO
JUMP-Target-2_compound_platemap	K05	BRD-K71106091-001-09-5	DMSO
JUMP-Target-2_compound_platemap	K06		DMSO
JUMP-Target-2_compound_platemap	K07		DMSO
JUMP-Target-2_compound_platemap	K08	BRD-K36055864-001-19-2	DMSO
JUMP-Target-2_compound_platemap	K09	BRD-K37864785-001-01-0	DMSO
JUMP-Target-2_compound_platemap	K10	BRD-K36740062-001-07-9	DMSO
JUMP-Target-2_compound_platemap	K11	BRD-K97181089-003-24-7	DMSO
JUMP-Target-2_compound_platemap	K12	BRD-K89517477-001-03-9	DMSO
JUMP-Target-2_compound_platemap	K13	BRD-K59325863-001-04-4	DMSO
JUMP-Target-2_compound_platemap	K14		DMSO
JUMP-Target-2_compound_platemap	K15	BRD-K25311561-001-10-7	DMSO
JUMP-Target-2_compound_platemap	K16	BRD-A31564021-001-01-8	DMSO
JUMP-Target-2_compound_platemap	K17	BRD-A37704979-001-12-3	DMSO
JUMP-Target-2_compound_platemap	K18	BRD-A65597028-003-09-9	DMSO
JUMP-Target-2_compound_platemap	K19	BRD-K61642990-001-01-0	DMSO
JUMP-Target-2_compound_platemap	K20	BRD-A74391928-051-04-9	DMSO
JUMP-Target-2_compound_platemap	K21	BRD-K53234107-001-01-6	DMSO
JUMP-Target-2_compound_platemap	K22	BRD-K03601870-001-02-9	DMSO
JUMP-Target-2_compound_platemap	K23	BRD-K09143580-001-02-9	DMSO
JUMP-Target-2_compound_platemap	K24		DMSO
JUMP-Target-2_compound_platemap	L01	BRD-K06890060-001-10-9	DMSO
JUMP-Target-2_compound_platemap	L02	BRD-K50398167-236-22-7	DMSO
JUMP-Target-2_compound_platemap	L03		DMSO
JUMP-Target-2_compound_platemap	L04	BRD-K13533483-001-16-2	DMSO
JUMP-Target-2_compound_platemap	L05	BRD-K81405859-300-01-4	DMSO
JUMP-Target-2_compound_platemap	L06	BRD-K61397605-001-09-9	DMSO
JUMP-Target-2_compound_platemap	L07	BRD-A69651145-003-11-4	DMSO
JUMP-Target-2_compound_platemap	L08	BRD-K73319509-001-12-9	DMSO
JUMP-Target-2_compound_platemap	L09	BRD-K91370081-001-25-1	DMSO
JUMP-Target-2_compound_platemap	L10		DMSO
JUMP-Target-2_compound_platemap	L11	BRD-K55966568-001-09-6	DMSO
JUMP-Target-2_compound_platemap	L12	BRD-K76792669-001-08-1	DMSO
JUMP-Target-2_compound_platemap	L13		DMSO
JUMP-Target-2_compound_platemap	L14	BRD-K48722258-300-11-0	DMSO
JUMP-Target-2_compound_platemap	L15	BRD-K21728777-001-02-3	DMSO
JUMP-Target-2_compound_platemap	L16	BRD-K70778732-003-27-5	DMSO
JUMP-Target-2_compound_platemap	L17	BRD-A72483914-001-03-7	DMSO
JUMP-Target-2_compound_platemap	L18	BRD-K91456750-001-01-9	DMSO
JUMP-Target-2_compound_platemap	L19	BRD-K25412176-001-04-9	DMSO
JUMP-Target-2_compound_platemap	L20	BRD-K25412176-001-04-9	DMSO
JUMP-Target-2_compound_platemap	L21	BRD-K64054020-001-04-9	DMSO
JUMP-Target-2_compound_platemap	L22	BRD-K38852836-001-04-9	DMSO
JUMP-Target-2_compound_platemap	L23		DMSO
JUMP-Target-2_compound_platemap	L24	BRD-K61250553-003-30-6	DMSO
JUMP-Target-2_compound_platemap	M01	BRD-K16730910-001-12-9	DMSO
JUMP-Target-2_compound_platemap	M02	BRD-K01666412-001-02-0	DMSO
JUMP-Target-2_compound_platemap	M03		DMSO
JUMP-Target-2_compound_platemap	M04	BRD-K50836978-001-04-9	DMSO
JUMP-Target-2_compound_platemap	M05	BRD-K26989966-001-04-3	DMSO
JUMP-Target-2_compound_platemap	M06	BRD-K51265828-001-02-9	DMSO
JUMP-Target-2_compound_platemap	M07	BRD-K49223707-001-01-0	DMSO
JUMP-Target-2_compound_platemap	M08	BRD-K52960356-001-15-5	DMSO
JUMP-Target-2_compound_platemap	M09	BRD-A91822151-001-05-0	DMSO
JUMP-Target-2_compound_platemap	M10		DMSO
JUMP-Target-2_compound_platemap	M11	BRD-K37764012-001-06-9	DMSO
JUMP-Target-2_compound_platemap	M12	BRD-K54330070-001-15-4	DMSO
JUMP-Target-2_compound_platemap	M13		DMSO
JUMP-Target-2_compound_platemap	M14	BRD-K60476892-001-17-9	DMSO
JUMP-Target-2_compound_platemap	M15	BRD-K23363278-001-02-1	DMSO
JUMP-Target-2_compound_platemap	M16	BRD-K80666802-003-02-9	DMSO
JUMP-Target-2_compound_platemap	M17	BRD-K51662849-001-05-4	DMSO
JUMP-Target-2_compound_platemap	M18		DMSO
JUMP-Target-2_compound_platemap	M19	BRD-K33882852-003-04-9	DMSO
JUMP-Target-2_compound_platemap	M20	BRD-K86930074-001-06-9	DMSO
JUMP-Target-2_compound_platemap	M21		DMSO
JUMP-Target-2_compound_platemap	M22	BRD-K12502280-001-16-9	DMSO
JUMP-Target-2_compound_platemap	M23	BRD-K72726508-001-02-1	DMSO
JUMP-Target-2_compound_platemap	M24	BRD-K77060810-001-01-5	DMSO
JUMP-Target-2_compound_platemap	N01		DMSO
JUMP-Target-2_compound_platemap	N02	BRD-K22134346-001-21-5	DMSO
JUMP-Target-2_compound_platemap	N03	BRD-K16761703-001-03-8	DMSO
JUMP-Target-2_compound_platemap	N04	BRD-K61688984-001-06-9	DMSO
JUMP-Target-2_compound_platemap	N05	BRD-K06674495-334-04-0	DMSO
JUMP-Target-2_compound_platemap	N06		DMSO
JUMP-Target-2_compound_platemap	N07		DMSO
JUMP-Target-2_compound_platemap	N08	BRD-K41599323-001-03-1	DMSO
JUMP-Target-2_compound_platemap	N09	BRD-A36217750-001-16-3	DMSO
JUMP-Target-2_compound_platemap	N10	BRD-K78692225-001-24-5	DMSO
JUMP-Target-2_compound_platemap	N11	BRD-K69122748-001-10-1	DMSO
JUMP-Target-2_compound_platemap	N12	BRD-K16803204-001-02-9	DMSO
JUMP-Target-2_compound_platemap	N13	BRD-A00827783-001-24-6	DMSO
JUMP-Target-2_compound_platemap	N14	BRD-K27539181-001-09-9	DMSO
JUMP-Target-2_compound_platemap	N15	BRD-A23124853-001-01-4	DMSO
JUMP-Target-2_compound_platemap	N16	BRD-K33882852-003-04-9	DMSO
JUMP-Target-2_compound_platemap	N17	BRD-K37385792-003-02-1	DMSO
JUMP-Target-2_compound_platemap	N18	BRD-A89164055-001-04-9	DMSO
JUMP-Target-2_compound_platemap	N19		DMSO
JUMP-Target-2_compound_platemap	N20		DMSO
JUMP-Target-2_compound_platemap	N21	BRD-K20897876-001-10-0	DMSO
JUMP-Target-2_compound_platemap	N22	BRD-K50498985-001-03-3	DMSO
JUMP-Target-2_compound_platemap	N23	BRD-K11796549-001-06-9	DMSO
JUMP-Target-2_compound_platemap	N24	BRD-K01825589-310-02-9	DMSO
JUMP-Target-2_compound_platemap	O01	BRD-K16472653-001-03-9	DMSO
JUMP-Target-2_compound_platemap	O02	BRD-A72767275-003-01-6	DMSO
JUMP-Target-2_compound_platemap	O03	BRD-A82396632-008-28-2	DMSO
JUMP-Target-2_compound_platemap	O04	BRD-K91543828-001-02-0	DMSO
JUMP-Target-2_compound_platemap	O05	BRD-A22713669-001-03-5	DMSO
JUMP-Target-2_compound_platemap	O06	BRD-K56810756-003-07-7	DMSO
JUMP-Target-2_compound_platemap	O07	BRD-A83029242-001-08-7	DMSO
