plate_map_name	well_position	broad_sample	solvent
Stain5-AZ-platemap	K08	BRD-K75009076-001-02-1	DMSO
Stain5-AZ-platemap	K09	BRD-K82164249-001-03-5	DMSO
Stain5-AZ-platemap	K10	BRD-K06883221-001-01-9	DMSO
Stain5-AZ-platemap	K11	BRD-K50055394-001-03-6	DMSO
Stain5-AZ-platemap	K12		DMSO
Stain5-AZ-platemap	K13	MITOXANTRONE	DMSO
Stain5-AZ-platemap	K14	BRD-K23383398-001-09-9	DMSO
Stain5-AZ-platemap	K15	BRD-K70446295-001-01-7	DMSO
Stain5-AZ-platemap	K16	BRD-K85606544-001-09-1	DMSO
Stain5-AZ-platemap	K17	BRD-K56932272-001-02-9	DMSO
Stain5-AZ-platemap	K18	BRD-K00818915-003-01-8	DMSO
Stain5-AZ-platemap	K19	BRD-K25611237-001-02-1	DMSO
Stain5-AZ-platemap	K20	BRD-K75009076-001-02-1	DMSO
Stain5-AZ-platemap	K21	BRD-K82164249-001-03-5	DMSO
Stain5-AZ-platemap	K22	BRD-K06883221-001-01-9	DMSO
Stain5-AZ-platemap	K23	BRD-K50055394-001-03-6	DMSO
Stain5-AZ-platemap	L02	BRD-K24600306-003-02-9	DMSO
Stain5-AZ-platemap	L03	BRD-M87138257-003-01-1	DMSO
Stain5-AZ-platemap	L04	BRD-K53972329-001-07-0	DMSO
Stain5-AZ-platemap	L05	BRD-K66401437-001-03-3	DMSO
Stain5-AZ-platemap	L06	BRD-K83607951-001-02-2	DMSO
Stain5-AZ-platemap	L07	BRD-K02965346-001-07-5	DMSO
Stain5-AZ-platemap	L08	BRD-K80935598-001-01-1	DMSO
Stain5-AZ-platemap	L09	BRD-K87632963-001-05-9	DMSO
Stain5-AZ-platemap	L10	BRD-K54759182-003-08-0	DMSO
Stain5-AZ-platemap	L11	BRD-K72898849-001-01-8	DMSO
Stain5-AZ-platemap	L12		DMSO
Stain5-AZ-platemap	L13	MITOXANTRONE	DMSO
Stain5-AZ-platemap	L14	BRD-K24600306-003-02-9	DMSO
Stain5-AZ-platemap	L15	BRD-M87138257-003-01-1	DMSO
Stain5-AZ-platemap	L16	BRD-K53972329-001-07-0	DMSO
Stain5-AZ-platemap	L17	BRD-K66401437-001-03-3	DMSO
Stain5-AZ-platemap	L18	BRD-K83607951-001-02-2	DMSO
Stain5-AZ-platemap	L19	BRD-K02965346-001-07-5	DMSO
Stain5-AZ-platemap	L20	BRD-K80935598-001-01-1	DMSO
Stain5-AZ-platemap	L21	BRD-K87632963-001-05-9	DMSO
Stain5-AZ-platemap	L22	BRD-K54759182-003-08-0	DMSO
Stain5-AZ-platemap	L23	BRD-K72898849-001-01-8	DMSO
Stain5-AZ-platemap	M02	BRD-K60130390-001-02-1	DMSO
Stain5-AZ-platemap	M03	BRD-A53576514-048-14-3	DMSO
Stain5-AZ-platemap	M04	BRD-K76908866-001-07-6	DMSO
Stain5-AZ-platemap	M05	BRD-K16189898-003-03-3	DMSO
Stain5-AZ-platemap	M06	BRD-A22769835-300-05-7	DMSO
Stain5-AZ-platemap	M07	BRD-K61688984-001-02-9	DMSO
Stain5-AZ-platemap	M08	BRD-K66430217-001-03-8	DMSO
Stain5-AZ-platemap	M09	BRD-K33818169-003-04-6	DMSO
Stain5-AZ-platemap	M10	BRD-K67772619-001-05-1	DMSO
Stain5-AZ-platemap	M11	BRD-K73982490-001-02-9	DMSO
Stain5-AZ-platemap	M12		DMSO
Stain5-AZ-platemap	M13	MITOXANTRONE	DMSO
Stain5-AZ-platemap	M14	BRD-K60130390-001-02-1	DMSO
Stain5-AZ-platemap	M15	BRD-A53576514-048-14-3	DMSO
Stain5-AZ-platemap	M16	BRD-K76908866-001-07-6	DMSO
Stain5-AZ-platemap	M17	BRD-K16189898-003-03-3	DMSO
Stain5-AZ-platemap	M18	BRD-A22769835-300-05-7	DMSO
Stain5-AZ-platemap	M19	BRD-K61688984-001-02-9	DMSO
Stain5-AZ-platemap	M20	BRD-K66430217-001-03-8	DMSO
Stain5-AZ-platemap	M21	BRD-K33818169-003-04-6	DMSO
Stain5-AZ-platemap	M22	BRD-K67772619-001-05-1	DMSO
Stain5-AZ-platemap	M23	BRD-K73982490-001-02-9	DMSO
Stain5-AZ-platemap	N02	BRD-K13094524-001-04-2	DMSO
Stain5-AZ-platemap	N03	BRD-K88677950-001-03-9	DMSO
Stain5-AZ-platemap	N04	BRD-K73397362-001-06-6	DMSO
Stain5-AZ-platemap	N05	BRD-K20290250-001-02-1	DMSO
Stain5-AZ-platemap	N06	BRD-K24696047-001-02-3	DMSO
Stain5-AZ-platemap	N07	BRD-K68756823-001-07-1	DMSO
Stain5-AZ-platemap	N08	BRD-K19871656-001-01-3	DMSO
Stain5-AZ-platemap	N12		DMSO
Stain5-AZ-platemap	N13	MITOXANTRONE	DMSO
Stain5-AZ-platemap	N14	BRD-K13094524-001-04-2	DMSO
Stain5-AZ-platemap	N15	BRD-K88677950-001-03-9	DMSO
Stain5-AZ-platemap	N16	BRD-K73397362-001-06-6	DMSO
Stain5-AZ-platemap	N17	BRD-K20290250-001-02-1	DMSO
Stain5-AZ-platemap	N18	BRD-K24696047-001-02-3	DMSO
Stain5-AZ-platemap	N19	BRD-K68756823-001-07-1	DMSO
Stain5-AZ-platemap	N20	BRD-K19871656-001-01-3	DMSO
